phase,timestep,ep_rew_mean,ep_len_mean,fold%,check_call%,raise33%,raise66%,raise100%,allin%
2,1282521,1.2652,1.51,0.022,0.054,0.005,0.104,0.45,0.365
2,1283521,0.7368,1.57,0.016,0.066,0.004,0.087,0.462,0.365
2,1284521,1.146,1.51,0.01,0.065,0.002,0.088,0.471,0.364
2,1285521,1.5716,1.59,0.013,0.066,0.005,0.094,0.455,0.367
2,1286521,1.918,1.56,0.011,0.063,0.004,0.097,0.459,0.366
2,1287521,1.8736,1.54,0.012,0.069,0.002,0.075,0.473,0.369
2,1288521,2.2004,1.55,0.011,0.07,0.008,0.076,0.461,0.374
2,1289521,1.6912,1.54,0.006,0.065,0.005,0.075,0.468,0.381
2,1290521,0.732,1.47,0.013,0.075,0.005,0.066,0.475,0.366
2,1291521,1.2028,1.58,0.01,0.062,0.008,0.089,0.453,0.378
2,1292521,1.2928,1.49,0.011,0.059,0.005,0.077,0.474,0.374
2,1293521,2.5852,1.51,0.009,0.063,0.002,0.079,0.471,0.376
2,1294521,0.6144,1.58,0.009,0.081,0.004,0.071,0.462,0.373
2,1295521,2.4752,1.45,0.006,0.06,0.003,0.055,0.506,0.37
2,1296521,1.2212,1.54,0.013,0.06,0.001,0.064,0.493,0.369
2,1297521,1.926,1.57,0.014,0.07,0.003,0.066,0.471,0.376
2,1298521,2.0752,1.54,0.012,0.074,0.003,0.065,0.478,0.368
2,1299521,2.0004,1.49,0.019,0.07,0.005,0.045,0.482,0.379
2,1300521,1.7912,1.51,0.015,0.068,0.002,0.057,0.479,0.379
2,1301521,1.6444,1.51,0.013,0.079,0.001,0.067,0.466,0.374
2,1302521,2.19,1.52,0.012,0.08,0.003,0.063,0.474,0.368
2,1303521,1.5392,1.59,0.008,0.076,0.002,0.06,0.472,0.382
2,1304521,2.3752,1.54,0.012,0.056,0.006,0.065,0.487,0.374
2,1305521,0.7844,1.56,0.012,0.059,0.003,0.064,0.496,0.366
2,1306521,2.7264,1.54,0.014,0.058,0.002,0.052,0.503,0.371
2,1307521,1.568,1.52,0.013,0.072,0.006,0.056,0.482,0.371
2,1308521,0.756,1.57,0.012,0.074,0.006,0.059,0.479,0.37
2,1309521,0.5996,1.57,0.019,0.067,0.007,0.065,0.478,0.364
2,1310521,0.774,1.55,0.012,0.064,0.004,0.068,0.483,0.369
2,1311521,1.544,1.55,0.008,0.078,0.005,0.065,0.476,0.368
2,1312521,1.7176,1.54,0.012,0.063,0.003,0.066,0.482,0.374
2,1313521,1.3188,1.47,0.014,0.069,0.002,0.053,0.49,0.372
2,1314521,1.4092,1.61,0.011,0.066,0.003,0.054,0.494,0.372
2,1315521,1.4324,1.6,0.018,0.066,0.006,0.092,0.453,0.365
2,1316521,1.8572,1.56,0.021,0.067,0.005,0.114,0.432,0.361
2,1317521,1.084,1.54,0.014,0.057,0.002,0.091,0.463,0.373
2,1318521,1.7668,1.56,0.016,0.075,0.001,0.088,0.447,0.373
2,1319521,1.7604,1.53,0.013,0.069,0.003,0.079,0.47,0.366
2,1320521,1.5252,1.56,0.022,0.074,0.004,0.096,0.441,0.363
2,1321521,0.8896,1.54,0.008,0.063,0.003,0.083,0.461,0.382
2,1322521,1.8932,1.54,0.015,0.07,0.006,0.081,0.462,0.366
2,1323521,1.102,1.59,0.014,0.076,0.002,0.07,0.47,0.368
2,1324521,2.4424,1.49,0.015,0.057,0.006,0.053,0.501,0.368
2,1325521,0.972,1.57,0.014,0.065,0.004,0.069,0.476,0.372
2,1326521,1.5304,1.5,0.011,0.067,0.005,0.079,0.465,0.373
2,1327521,2.3216,1.57,0.022,0.061,0.009,0.068,0.471,0.369
2,1328521,1.8428,1.53,0.014,0.061,0.015,0.076,0.461,0.373
2,1329521,0.8896,1.49,0.011,0.066,0.008,0.072,0.47,0.373
2,1330521,1.5596,1.55,0.012,0.069,0.008,0.081,0.467,0.363
2,1331521,1.0876,1.56,0.018,0.056,0.003,0.099,0.455,0.369
2,1332521,1.8644,1.6,0.01,0.072,0.007,0.072,0.472,0.367
2,1333521,1.7516,1.56,0.02,0.054,0.006,0.072,0.48,0.368
2,1334521,1.8372,1.56,0.014,0.063,0.007,0.056,0.491,0.369
2,1335521,2.4684,1.51,0.015,0.058,0.007,0.054,0.495,0.371
2,1336521,2.4404,1.47,0.01,0.083,0.01,0.047,0.474,0.376
2,1337521,2.1396,1.58,0.015,0.071,0.013,0.041,0.482,0.378
2,1338521,1.2492,1.58,0.015,0.079,0.01,0.052,0.473,0.371
2,1339521,1.2792,1.53,0.008,0.067,0.009,0.051,0.496,0.369
2,1340521,2.9824,1.51,0.02,0.063,0.016,0.05,0.483,0.368
2,1341521,1.5236,1.51,0.016,0.075,0.004,0.068,0.472,0.365
2,1342521,1.706,1.53,0.013,0.068,0.01,0.059,0.48,0.37
2,1343521,1.9416,1.6,0.02,0.072,0.004,0.073,0.468,0.363
2,1344521,1.3932,1.57,0.019,0.057,0.009,0.042,0.501,0.372
2,1345521,3.1288,1.53,0.012,0.068,0.013,0.043,0.496,0.368
2,1346521,1.2748,1.53,0.013,0.067,0.005,0.045,0.509,0.361
2,1347521,1.3436,1.58,0.013,0.065,0.007,0.043,0.505,0.367
2,1348521,1.3944,1.54,0.011,0.061,0.009,0.065,0.483,0.371
2,1349521,1.4912,1.53,0.015,0.07,0.009,0.047,0.491,0.368
2,1350521,1.882,1.56,0.011,0.057,0.007,0.066,0.487,0.372
2,1351521,1.6424,1.53,0.011,0.077,0.005,0.063,0.477,0.367
2,1352521,1.7592,1.55,0.012,0.059,0.004,0.061,0.484,0.38
2,1353521,1.4208,1.56,0.015,0.058,0.007,0.054,0.498,0.368
2,1354521,1.432,1.59,0.013,0.048,0.004,0.038,0.52,0.377
