phase,timestep,ep_rew_mean,ep_len_mean,fold%,check_call%,raise33%,raise66%,raise100%,allin%
2,287000,1.8304,1.59,0.015,0.062,0.003,0.021,0.519,0.38
2,288000,1.436,1.52,0.016,0.066,0.001,0.011,0.54,0.366
2,289000,2.524,1.48,0.014,0.06,0.001,0.017,0.527,0.381
2,290000,0.7492,1.53,0.012,0.067,0.0,0.019,0.514,0.388
2,291000,1.1692,1.5,0.006,0.07,0.001,0.015,0.514,0.394
2,292000,1.082,1.56,0.013,0.068,0.0,0.027,0.509,0.383
2,293000,1.7312,1.49,0.004,0.068,0.001,0.027,0.49,0.41
2,294000,1.854,1.48,0.014,0.077,0.0,0.039,0.498,0.372
2,295000,2.26,1.55,0.008,0.062,0.002,0.041,0.489,0.398
2,296000,1.1952,1.59,0.016,0.061,0.001,0.048,0.496,0.378
2,297000,2.6072,1.56,0.011,0.065,0.0,0.037,0.501,0.386
2,298000,1.3012,1.49,0.007,0.081,0.003,0.034,0.5,0.375
2,299000,1.434,1.54,0.008,0.064,0.0,0.036,0.521,0.371
2,300000,1.704,1.56,0.007,0.064,0.0,0.029,0.525,0.375
2,301000,1.9672,1.6,0.015,0.063,0.0,0.026,0.515,0.381
2,302000,1.674,1.5,0.01,0.074,0.0,0.029,0.508,0.379
2,303000,1.6632,1.51,0.021,0.07,0.003,0.037,0.486,0.383
2,304000,1.3364,1.56,0.014,0.07,0.0,0.031,0.492,0.393
2,305000,2.378,1.47,0.015,0.077,0.0,0.029,0.493,0.386
2,306000,2.0652,1.57,0.008,0.082,0.0,0.038,0.486,0.386
2,307000,0.438,1.61,0.01,0.076,0.0,0.035,0.489,0.39
2,308000,1.8184,1.47,0.008,0.063,0.0,0.032,0.513,0.384
2,309000,1.8964,1.6,0.011,0.057,0.0,0.025,0.521,0.386
2,310000,2.3852,1.53,0.011,0.059,0.0,0.026,0.513,0.391
2,311000,0.8652,1.51,0.013,0.071,0.0,0.024,0.513,0.379
2,312000,1.86,1.54,0.013,0.074,0.0,0.023,0.506,0.384
2,313000,1.2408,1.52,0.011,0.068,0.001,0.029,0.504,0.387
2,314000,1.6228,1.54,0.012,0.063,0.0,0.031,0.516,0.378
2,315000,1.912,1.51,0.011,0.081,0.001,0.023,0.512,0.372
2,316000,0.532,1.51,0.015,0.065,0.001,0.025,0.516,0.378
2,317000,1.774,1.49,0.017,0.067,0.001,0.019,0.513,0.383
2,318000,1.9744,1.53,0.012,0.067,0.001,0.028,0.509,0.383
2,319000,0.59,1.6,0.014,0.066,0.0,0.023,0.512,0.385
2,320000,1.8552,1.51,0.017,0.07,0.001,0.022,0.508,0.382
2,321000,1.1192,1.53,0.011,0.058,0.002,0.026,0.515,0.388
2,322000,1.75,1.55,0.014,0.076,0.001,0.027,0.496,0.386
2,323000,1.294,1.49,0.012,0.07,0.002,0.023,0.515,0.378
2,324000,0.876,1.59,0.019,0.073,0.001,0.026,0.497,0.384
2,325000,1.4248,1.57,0.017,0.064,0.001,0.023,0.51,0.385
2,326000,1.546,1.53,0.015,0.07,0.003,0.019,0.502,0.391
2,327000,1.5972,1.55,0.011,0.077,0.001,0.019,0.508,0.384
2,328000,2.1552,1.5,0.017,0.056,0.0,0.022,0.519,0.386
2,329000,1.7972,1.57,0.014,0.073,0.0,0.016,0.513,0.384
2,330000,1.112,1.46,0.015,0.062,0.001,0.021,0.523,0.378
2,331000,1.6152,1.52,0.021,0.062,0.004,0.02,0.513,0.38
2,332000,1.5508,1.48,0.009,0.065,0.004,0.014,0.517,0.391
2,333000,0.86,1.46,0.011,0.066,0.004,0.017,0.505,0.397
2,334000,2.156,1.47,0.014,0.068,0.003,0.009,0.531,0.375
2,335000,1.126,1.46,0.015,0.061,0.003,0.016,0.516,0.389
2,336000,1.538,1.58,0.013,0.071,0.001,0.025,0.517,0.373
2,337000,2.7692,1.57,0.013,0.054,0.004,0.012,0.525,0.392
2,338000,1.5412,1.49,0.014,0.06,0.001,0.014,0.522,0.389
2,339000,0.212,1.6,0.016,0.072,0.002,0.012,0.504,0.394
2,340000,2.8992,1.5,0.011,0.074,0.002,0.014,0.507,0.392
2,341000,1.464,1.49,0.02,0.07,0.0,0.018,0.509,0.383
2,342000,1.718,1.55,0.017,0.086,0.002,0.016,0.489,0.39
2,343000,1.8972,1.5,0.012,0.063,0.001,0.019,0.519,0.386
2,344000,0.4812,1.5,0.02,0.066,0.001,0.017,0.511,0.385
2,345000,2.534,1.51,0.016,0.071,0.0,0.009,0.519,0.385
2,346000,1.182,1.56,0.015,0.072,0.002,0.015,0.51,0.386
2,347000,0.89,1.46,0.019,0.073,0.003,0.01,0.512,0.383
2,348000,2.1992,1.5,0.016,0.063,0.002,0.008,0.504,0.407
2,349000,1.5932,1.45,0.015,0.073,0.001,0.014,0.506,0.391
2,350000,2.54,1.47,0.015,0.061,0.0,0.004,0.54,0.38
2,351000,2.77,1.46,0.012,0.056,0.002,0.014,0.52,0.396
2,352000,1.65,1.49,0.013,0.07,0.001,0.016,0.503,0.397
2,353000,0.954,1.51,0.013,0.07,0.003,0.012,0.508,0.394
2,354000,2.1844,1.55,0.014,0.071,0.002,0.012,0.511,0.39
2,355000,2.292,1.55,0.012,0.06,0.002,0.017,0.506,0.403
2,356000,0.778,1.49,0.017,0.067,0.002,0.01,0.508,0.396
2,357000,1.912,1.52,0.016,0.054,0.0,0.005,0.528,0.397
2,358000,1.6952,1.5,0.017,0.061,0.0,0.011,0.502,0.409
2,359000,1.814,1.54,0.014,0.062,0.002,0.012,0.506,0.404
2,360000,1.868,1.49,0.011,0.081,0.001,0.014,0.504,0.389
2,361000,2.174,1.49,0.018,0.064,0.002,0.029,0.492,0.395
2,362000,1.4532,1.52,0.014,0.064,0.003,0.034,0.497,0.388
